Title,Decision,Decision_Date,PDF File,Application Date,Disease_Category,HT_Category
Daratumumab with pomalidomide and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2021-09-22,Daratumumab_with_pomalidomide_and_dexamethasone_for_treating_relapsed_or_refractory_multiple_myeloma_(terminated_appraisal).pdf,,Cancer,Drug
Isatuximab with carfilzomib and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2021-09-22,Isatuximab_with_carfilzomib_and_dexamethasone_for_treating_relapsed_or_refractory_multiple_myeloma_(terminated_appraisal).pdf,,Cancer,Drug
Midostaurin for treating advanced systemic mastocytosis,Conditional,2021-09-22,Midostaurin_for_treating_advanced_systemic_mastocytosis.pdf,2020-03,Rare Disease (Orphan Drugs),Drug
Sapropterin for treating hyperphenylalaninaemia in phenylketonuria,Conditional,2021-09-22,Sapropterin_for_treating_hyperphenylalaninaemia_in_phenylketonuria.pdf,2020-07,Rare Disease (Orphan Drugs),Drug
"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",Conditional,2021-09-15,"Abemaciclib_with_fulvestrant_for_treating_hormone_receptor-positive,_HER2-negative_advanced_breast_cancer_after_endocrine_therapy.pdf",,Cancer,Drug
Nivolumab with ipilimumab and chemotherapy for untreated metastatic non-small-cell lung cancer,Rejected,2021-09-08,Nivolumab_with_ipilimumab_and_chemotherapy_for_untreated_metastatic_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Bimekizumab for treating moderate to severe plaque psoriasis,Conditional,2021-09-01,Bimekizumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,2021-01,Chronic,Drug
Pemigatinib for treating relapsed or refractory advanced cholangiocarcinoma with FGFR2 fusion or rearrangement,Conditional,2021-08-25,Pemigatinib_for_treating_relapsed_or_refractory_advanced_cholangiocarcinoma_with_FGFR2_fusion_or_rearrangement.pdf,2020-08,"Cancer, Rare Disease (Orphan Drugs)",Drug
Continuous positive airway pressure for the treatment of obstructive sleep apnoea/hypopnoea syndrome,Approved,2008-03-26,Continuous_positive_airway_pressure_for_the_treatment_of_obstructive_sleep_apnoea/hypopnoea_syndrome.pdf,,Chronic,Medical Device
Chlormethine gel for treating mycosis fungoides-type cutaneous T-cell lymphoma,Conditional,2021-08-18,Chlormethine_gel_for_treating_mycosis_fungoides-type_cutaneous_T-cell_lymphoma.pdf,2020-01,"Cancer, Rare Disease (Orphan Drugs)",Drug
Abiraterone for treating newly diagnosed high-risk hormone-sensitive metastatic prostate cancer,Rejected,2021-08-18,Abiraterone_for_treating_newly_diagnosed_high-risk_hormone-sensitive_metastatic_prostate_cancer.pdf,2018-03,Cancer,Drug
Nivolumab with ipilimumab for previously treated metastatic colorectal cancer with high microsatellite instability or mismatch repair deficiency,Conditional,2021-07-28,Nivolumab_with_ipilimumab_for_previously_treated_metastatic_colorectal_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf,2020-10,Cancer,Drug
Duvelisib for treating relapsed follicular lymphoma after 2 or more systemic therapies (terminated appraisal),Rejected,2021-07-21,Duvelisib_for_treating_relapsed_follicular_lymphoma_after_2_or_more_systemic_therapies_(terminated_appraisal).pdf,,Cancer,Drug
Ixekizumab for treating axial spondyloarthritis,Conditional,2021-07-21,Ixekizumab_for_treating_axial_spondyloarthritis.pdf,2020-05,Musculoskeletal diseases,Drug
Secukinumab for treating non-radiographic axial spondyloarthritis,Conditional,2021-07-21,Secukinumab_for_treating_non-radiographic_axial_spondyloarthritis.pdf,2019-12,Musculoskeletal diseases,Drug
"Adalimumab, etanercept, infliximab and abatacept for treating moderate rheumatoid arthritis after conventional DMARDs have failed",Rejected,2021-07-14,"Adalimumab,_etanercept,_infliximab_and_abatacept_for_treating_moderate_rheumatoid_arthritis_after_conventional_DMARDs_have_failed.pdf",,Musculoskeletal diseases,Drug
Dasatinib for treating Philadelphia-chromosome-positive acute lymphoblastic leukaemia (terminated appraisal),Rejected,2021-07-14,Dasatinib_for_treating_Philadelphia-chromosome-positive_acute_lymphoblastic_leukaemia_(terminated_appraisal).pdf,,"Cancer, Rare Disease (Orphan Drugs)",Drug
Enzalutamide for treating hormone-sensitive metastatic prostate cancer,Approved,2021-07-07,Enzalutamide_for_treating_hormone-sensitive_metastatic_prostate_cancer.pdf,2019-11,Cancer,Drug
Nivolumab for advanced non-squamous non-small-cell lung cancer after chemotherapy,Conditional,2021-07-07,Nivolumab_for_advanced_non-squamous_non-small-cell_lung_cancer_after_chemotherapy.pdf,,Cancer,Drug
Apixaban for preventing stroke and systemic embolism in people with non-valvular atrial fibrillation,Approved,2013-02-27,Apixaban_for_preventing_stroke_and_systemic_embolism_in_people_with_non-valvular_atrial_fibrillation.pdf,,"Cardiovascular, Chronic",Drug
Edoxaban for preventing stroke and systemic embolism in people with non-valvular atrial fibrillation,Approved,2015-09-23,Edoxaban_for_preventing_stroke_and_systemic_embolism_in_people_with_non-valvular_atrial_fibrillation.pdf,,Cardiovascular,Drug
Budesonide orodispersible tablet for inducing remission of eosinophilic oesophagitis,Approved,2021-06-23,Budesonide_orodispersible_tablet_for_inducing_remission_of_eosinophilic_oesophagitis.pdf,2019-09,Rare Disease (Orphan Drugs),Drug
Pembrolizumab for untreated metastatic colorectal cancer with high microsatellite instability or mismatch repair deficiency,Conditional,2021-06-23,Pembrolizumab_for_untreated_metastatic_colorectal_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf,2020-09,Cancer,Drug
Ravulizumab for treating atypical haemolytic uraemic syndrome,Approved,2021-06-23,Ravulizumab_for_treating_atypical_haemolytic_uraemic_syndrome.pdf,,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Nivolumab for previously treated unresectable advanced or recurrent oesophageal cancer,Conditional,2021-06-15,Nivolumab_for_previously_treated_unresectable_advanced_or_recurrent_oesophageal_cancer.pdf,2020-04,Cancer,Drug
Ozanimod for treating relapsing–remitting multiple sclerosis,Rejected,2021-06-09,Ozanimod_for_treating_relapsing–remitting_multiple_sclerosis.pdf,2019-11,Nervous System,Drug
Atezolizumab monotherapy for untreated advanced non-small-cell lung cancer,Approved,2021-06-02,Atezolizumab_monotherapy_for_untreated_advanced_non-small-cell_lung_cancer.pdf,2020-09,Cancer,Drug
Ibrutinib with obinutuzumab for untreated chronic lymphocytic leukaemia and small lymphocytic lymphoma (terminated appraisal),Rejected,2021-05-26,Ibrutinib_with_obinutuzumab_for_untreated_chronic_lymphocytic_leukaemia_and_small_lymphocytic_lymphoma_(terminated_appraisal).pdf,,Cancer,Drug
Ibrutinib with rituximab for untreated chronic lymphocytic leukaemia (terminated appraisal),Rejected,2021-05-26,Ibrutinib_with_rituximab_for_untreated_chronic_lymphocytic_leukaemia_(terminated_appraisal).pdf,,"Cancer, Chronic",Drug
Trastuzumab deruxtecan for treating HER2-positive unresectable or metastatic breast cancer after 2 or more anti-HER2 therapies,Conditional,2021-05-26,Trastuzumab_deruxtecan_for_treating_HER2-positive_unresectable_or_metastatic_breast_cancer_after_2_or_more_anti-HER2_therapies.pdf,2020-08,Cancer,Drug
Ravulizumab for treating paroxysmal nocturnal haemoglobinuria,Approved,2021-05-19,Ravulizumab_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,2020-09,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Ofatumumab for treating relapsing multiple sclerosis,Conditional,2021-05-19,Ofatumumab_for_treating_relapsing_multiple_sclerosis.pdf,2020-08,Nervous System,Drug
Crisaborole for treating mild to moderate atopic dermatitis in people 2 years and older (terminated appraisal),Rejected,2021-05-19,Crisaborole_for_treating_mild_to_moderate_atopic_dermatitis_in_people_2_years_and_older_(terminated_appraisal).pdf,,Chronic,Drug
Pembrolizumab for treating locally advanced or metastatic urothelial carcinoma after platinum-containing chemotherapy,Rejected,2021-04-28,Pembrolizumab_for_treating_locally_advanced_or_metastatic_urothelial_carcinoma_after_platinum-containing_chemotherapy.pdf,,Cancer,Drug
Bempedoic acid with ezetimibe for treating primary hypercholesterolaemia or mixed dyslipidaemia,Conditional,2021-04-28,Bempedoic_acid_with_ezetimibe_for_treating_primary_hypercholesterolaemia_or_mixed_dyslipidaemia.pdf,2020-03,"Cardiovascular, Chronic",Drug
Carfilzomib with dexamethasone and lenalidomide for previously treated multiple myeloma,Conditional,2021-04-28,Carfilzomib_with_dexamethasone_and_lenalidomide_for_previously_treated_multiple_myeloma.pdf,2020-01,Cancer,Drug
Avelumab for treating metastatic Merkel cell carcinoma,Conditional,2018-04-11,Avelumab_for_treating_metastatic_Merkel_cell_carcinoma.pdf,2017-08,"Cancer, Rare Disease (Orphan Drugs)",Drug
Acalabrutinib for treating chronic lymphocytic leukaemia,Conditional,2021-04-21,Acalabrutinib_for_treating_chronic_lymphocytic_leukaemia.pdf,2020-08,"Cancer, Chronic",Drug
Avelumab for untreated metastatic Merkel cell carcinoma,Conditional,2021-04-21,Avelumab_for_untreated_metastatic_Merkel_cell_carcinoma.pdf,,Cancer,Drug
Anakinra for treating Still’s disease,Approved,2021-03-31,Anakinra_for_treating_Still’s_disease.pdf,2019-10,"Rare Disease (Orphan Drugs), Musculoskeletal diseases",Drug
Blinatumomab for previously treated Philadelphia-chromosome-positive acute lymphoblastic leukaemia (terminated appraisal),Rejected,2021-03-31,Blinatumomab_for_previously_treated_Philadelphia-chromosome-positive_acute_lymphoblastic_leukaemia_(terminated_appraisal).pdf,,Cancer,Drug
"Ribociclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",Conditional,2021-03-31,"Ribociclib_with_fulvestrant_for_treating_hormone_receptor-positive,_HER2-negative_advanced_breast_cancer_after_endocrine_therapy.pdf",2020-09,Cancer,Drug
Nivolumab for adjuvant treatment of completely resected melanoma with lymph node involvement or metastatic disease,Conditional,2021-03-17,Nivolumab_for_adjuvant_treatment_of_completely_resected_melanoma_with_lymph_node_involvement_or_metastatic_disease.pdf,,Cancer,Drug
Erenumab for preventing migraine,Conditional,2021-03-10,Erenumab_for_preventing_migraine.pdf,2018-09,Nervous System,Drug
"Pembrolizumab with pemetrexed and platinum chemotherapy for untreated, metastatic, non-squamous non-small-cell lung cancer",Conditional,2021-03-10,"Pembrolizumab_with_pemetrexed_and_platinum_chemotherapy_for_untreated,_metastatic,_non-squamous_non-small-cell_lung_cancer.pdf",,Cancer,Drug
Lenalidomide maintenance treatment after an autologous stem cell transplant for newly diagnosed multiple myeloma,Conditional,2021-03-03,Lenalidomide_maintenance_treatment_after_an_autologous_stem_cell_transplant_for_newly_diagnosed_multiple_myeloma.pdf,2020-02,Cancer,Drug
Baricitinib for treating moderate to severe atopic dermatitis,Conditional,2021-03-03,Baricitinib_for_treating_moderate_to_severe_atopic_dermatitis.pdf,2020-06,Chronic,Drug
Filgotinib for treating moderate to severe rheumatoid arthritis,Conditional,2021-02-24,Filgotinib_for_treating_moderate_to_severe_rheumatoid_arthritis.pdf,,Musculoskeletal diseases,Drug
Brexucabtagene autoleucel for treating relapsed or refractory mantle cell lymphoma,Approved,2021-02-24,Brexucabtagene_autoleucel_for_treating_relapsed_or_refractory_mantle_cell_lymphoma.pdf,2020-04,Cancer,Drug
Omalizumab for treating chronic rhinosinusitis with nasal polyps (terminated appraisal),Rejected,2021-02-24,Omalizumab_for_treating_chronic_rhinosinusitis_with_nasal_polyps_(terminated_appraisal).pdf,,Chronic,Drug
Dapagliflozin for treating chronic heart failure with reduced ejection fraction,Conditional,2021-02-24,Dapagliflozin_for_treating_chronic_heart_failure_with_reduced_ejection_fraction.pdf,2020-05,"Cardiovascular, Chronic",Drug
"Niraparib for maintenance treatment of advanced ovarian, fallopian tube and peritoneal cancer after response to first-line platinum-based chemotherapy",Conditional,2021-02-17,"Niraparib_for_maintenance_treatment_of_advanced_ovarian,_fallopian_tube_and_peritoneal_cancer_after_response_to_first-line_platinum-based_chemotherapy.pdf",2020-05,"Cancer, Obstetrics/Gynaecology",Drug
"Pembrolizumab for untreated PD-L1-positive, locally advanced or metastatic urothelial cancer when cisplatin is unsuitable (terminated appraisal)",Rejected,2021-02-17,"Pembrolizumab_for_untreated_PD-L1-positive,_locally_advanced_or_metastatic_urothelial_cancer_when_cisplatin_is_unsuitable_(terminated_appraisal).pdf",,Cancer,Drug
Vernakalant for the rapid conversion of recent onset atrial fibrillation to sinus rhythm (terminated appraisal),Rejected,2021-02-17,Vernakalant_for_the_rapid_conversion_of_recent_onset_atrial_fibrillation_to_sinus_rhythm_(terminated_appraisal).pdf,,Cardiovascular,Drug
Trabectedin for the treatment of advanced soft tissue sarcoma,Approved,2010-02-24,Trabectedin_for_the_treatment_of_advanced_soft_tissue_sarcoma.pdf,,Cancer,Drug
Mepolizumab for treating severe eosinophilic asthma,Conditional,2021-02-03,Mepolizumab_for_treating_severe_eosinophilic_asthma.pdf,,Chronic,Drug
Brolucizumab for treating wet age-related macular degeneration,Conditional,2021-02-03,Brolucizumab_for_treating_wet_age-related_macular_degeneration.pdf,2019-10,Nervous System,Drug
Brigatinib for ALK-positive advanced non-small-cell lung cancer that has not been previously treated with an ALK inhibitor,Conditional,2021-01-27,Brigatinib_for_ALK-positive_advanced_non-small-cell_lung_cancer_that_has_not_been_previously_treated_with_an_ALK_inhibitor.pdf,2020-05,Cancer,Drug
Encorafenib plus cetuximab for previously treated BRAF V600E mutation-positive metastatic colorectal cancer,Conditional,2021-01-06,Encorafenib_plus_cetuximab_for_previously_treated_BRAF_V600E_mutation-positive_metastatic_colorectal_cancer.pdf,2019-08,Cancer,Drug
Atezolizumab with bevacizumab for treating advanced or unresectable hepatocellular carcinoma,Conditional,2020-12-16,Atezolizumab_with_bevacizumab_for_treating_advanced_or_unresectable_hepatocellular_carcinoma.pdf,2020-04,Cancer,Drug
Caplacizumab with plasma exchange and immunosuppression for treating acute acquired thrombotic thrombocytopenic purpura,Conditional,2020-12-16,Caplacizumab_with_plasma_exchange_and_immunosuppression_for_treating_acute_acquired_thrombotic_thrombocytopenic_purpura.pdf,2019-10,Rare Disease (Orphan Drugs),Drug
Venetoclax with obinutuzumab for untreated chronic lymphocytic leukaemia,Conditional,2020-12-09,Venetoclax_with_obinutuzumab_for_untreated_chronic_lymphocytic_leukaemia.pdf,2019-10,"Cancer, Chronic",Drug
Liraglutide for managing overweight and obesity,Conditional,2020-12-09,Liraglutide_for_managing_overweight_and_obesity.pdf,,Chronic,Drug
Upadacitinib for treating severe rheumatoid arthritis,Conditional,2020-12-09,Upadacitinib_for_treating_severe_rheumatoid_arthritis.pdf,2019-07,Musculoskeletal diseases,Drug
Darolutamide with androgen deprivation therapy for treating hormone-relapsed non-metastatic prostate cancer,Conditional,2020-11-25,Darolutamide_with_androgen_deprivation_therapy_for_treating_hormone-relapsed_non-metastatic_prostate_cancer.pdf,,Cancer,Drug
Pembrolizumab for untreated metastatic or unresectable recurrent head and neck squamous cell carcinoma,Conditional,2020-11-25,Pembrolizumab_for_untreated_metastatic_or_unresectable_recurrent_head_and_neck_squamous_cell_carcinoma.pdf,2019-06,Cancer,Drug
Durvalumab in combination for untreated extensive-stage small-cell lung cancer (terminated appraisal),Rejected,2020-11-25,Durvalumab_in_combination_for_untreated_extensive-stage_small-cell_lung_cancer_(terminated_appraisal).pdf,,Cancer,Drug
Drug-eluting stents for the treatment of coronary artery disease,Conditional,2008-07-23,Drug-eluting_stents_for_the_treatment_of_coronary_artery_disease.pdf,,"Cardiovascular, Chronic",Medical Device
Guidance on the use of coronary artery stents,Rejected,2003-10-22,Guidance_on_the_use_of_coronary_artery_stents.pdf,,Cardiovascular,Medical Device
Siponimod for treating secondary progressive multiple sclerosis,Conditional,2020-11-18,Siponimod_for_treating_secondary_progressive_multiple_sclerosis.pdf,2019-09,Nervous System,Drug
Carfilzomib for previously treated multiple myeloma,Conditional,2020-11-18,Carfilzomib_for_previously_treated_multiple_myeloma.pdf,,Cancer,Drug
